id,name,value
106,AAJ101,1.104
107,AAJ102,1.105
108,AAJ103,1.106
109,AAJ104,1.107
110,AAJ105,1.108
111,AAJ106,1.109
112,AAJ107,1.110
113,AAJ108,1.111
114,AAJ109,1.112
115,AAJ110,1.113
116,AAJ111,1.114
117,AAJ112,1.115
118,AAJ113,1.116
119,AAJ114,1.117
120,AAJ115,1.118
121,AAJ116,1.119
122,AAJ117,1.120
123,AAJ118,1.121
124,AAJ119,1.122
125,AAJ120,1.123
126,AAJ121,1.124
127,AAJ122,1.125
128,AAJ123,1.126
129,AAJ124,1.127
130,AAJ125,1.128
131,AAJ126,1.129
132,AAJ127,1.130
133,AAJ128,1.131
134,AAJ129,1.132
135,AAJ130,1.133
136,AAJ131,1.134
137,AAJ132,1.135
138,AAJ133,1.136
139,AAJ134,1.137
140,AAJ135,1.138
141,AAJ136,1.139
142,AAJ137,1.140
143,AAJ138,1.141
144,AAJ139,1.142
145,AAJ140,1.143
146,AAJ141,1.144
147,AAJ142,1.145
148,AAJ143,1.146
149,AAJ144,1.147
150,AAJ145,1.148
151,AAJ146,1.149
152,AAJ147,1.150
153,AAJ148,1.151
154,AAJ149,1.152
155,AAJ150,1.153
156,AAJ151,1.154
157,AAJ152,1.155
158,AAJ153,1.156
159,AAJ154,1.157
160,AAJ155,1.158
161,AAJ156,1.159
162,AAJ157,1.160
163,AAJ158,1.161
164,AAJ159,1.162
165,AAJ160,1.163
166,AAJ161,1.164
167,AAJ162,1.165
168,AAJ163,1.166
169,AAJ164,1.167
170,AAJ165,1.168
171,AAJ166,1.169
172,AAJ167,1.170
173,AAJ168,1.171
174,AAJ169,1.172
175,AAJ170,1.173
176,AAJ171,1.174
177,AAJ172,1.175
178,AAJ173,1.176
179,AAJ174,1.177
180,AAJ175,1.178
181,AAJ176,1.179
182,AAJ177,1.180
183,AAJ178,1.181
184,AAJ179,1.182
185,AAJ180,1.183
186,AAJ181,1.184
187,AAJ182,1.185
188,AAJ183,1.186
189,AAJ184,1.187
190,AAJ185,1.188
191,AAJ186,1.189
192,AAJ187,1.190
193,AAJ188,1.191
194,AAJ189,1.192
195,AAJ190,1.193
196,AAJ191,1.194
197,AAJ192,1.195
198,AAJ193,1.196
199,AAJ194,1.197
200,AAJ195,1.198
201,AAJ196,1.199
202,AAJ197,1.200
203,AAJ198,1.201
204,AAJ199,1.202
205,AAJ200,1.203
206,AAJ201,1.204
207,AAJ202,1.205
208,AAJ203,1.206
209,AAJ204,1.207
210,AAJ205,1.208
211,AAJ206,1.209
212,AAJ207,1.210
213,AAJ208,1.211
214,AAJ209,1.212
215,AAJ210,1.213
216,AAJ211,1.214
217,AAJ212,1.215
218,AAJ213,1.216
219,AAJ214,1.217
220,AAJ215,1.218
221,AAJ216,1.219
222,AAJ217,1.220
223,AAJ218,1.221
224,AAJ219,1.222
225,AAJ220,1.223
226,AAJ221,1.224
227,AAJ222,1.225
228,AAJ223,1.226
229,AAJ224,1.227
230,AAJ225,1.228
231,AAJ226,1.229
232,AAJ227,1.230
233,AAJ228,1.231
234,AAJ229,1.232
235,AAJ230,1.233
236,AAJ231,1.234
237,AAJ232,1.235
238,AAJ233,1.236
239,AAJ234,1.237
240,AAJ235,1.238
241,AAJ236,1.239
242,AAJ237,1.240
243,AAJ238,1.241
244,AAJ239,1.242
245,AAJ240,1.243
246,AAJ241,1.244
247,AAJ242,1.245
248,AAJ243,1.246
249,AAJ244,1.247
250,AAJ245,1.248
251,AAJ246,1.249
252,AAJ247,1.250
253,AAJ248,1.251
254,AAJ249,1.252
255,AAJ250,1.253
256,AAJ251,1.254
257,AAJ252,1.255
258,AAJ253,1.256
259,AAJ254,1.257
260,AAJ255,1.258
261,AAJ256,1.259
262,AAJ257,1.260
263,AAJ258,1.261
264,AAJ259,1.262
265,AAJ260,1.263
266,AAJ261,1.264
267,AAJ262,1.265
268,AAJ263,1.266
269,AAJ264,1.267
270,AAJ265,1.268
271,AAJ266,1.269
272,AAJ267,1.270
273,AAJ268,1.271
274,AAJ269,1.272
275,AAJ270,1.273
276,AAJ271,1.274
277,AAJ272,1.275
278,AAJ273,1.276
279,AAJ274,1.277
280,AAJ275,1.278
281,AAJ276,1.279
282,AAJ277,1.280
283,AAJ278,1.281
284,AAJ279,1.282
285,AAJ280,1.283
286,AAJ281,1.284
287,AAJ282,1.285
288,AAJ283,1.286
289,AAJ284,1.287
290,AAJ285,1.288
291,AAJ286,1.289
292,AAJ287,1.290
293,AAJ288,1.291
294,AAJ289,1.292
295,AAJ290,1.293
296,AAJ291,1.294
297,AAJ292,1.295
298,AAJ293,1.296
299,AAJ294,1.297
300,AAJ295,1.298
301,AAJ296,1.299
302,AAJ297,1.300
303,AAJ298,1.301
304,AAJ299,1.302
305,AAJ300,1.303
306,AAJ301,1.304
307,AAJ302,1.305
308,AAJ303,1.306
309,AAJ304,1.307
310,AAJ305,1.308
311,AAJ306,1.309
312,AAJ307,1.310
313,AAJ308,1.311
314,AAJ309,1.312
315,AAJ310,1.313
316,AAJ311,1.314
317,AAJ312,1.315
318,AAJ313,1.316
319,AAJ314,1.317
320,AAJ315,1.318
321,AAJ316,1.319
322,AAJ317,1.320
323,AAJ318,1.321
324,AAJ319,1.322
325,AAJ320,1.323
326,AAJ321,1.324
327,AAJ322,1.325
328,AAJ323,1.326
329,AAJ324,1.327
330,AAJ325,1.328
331,AAJ326,1.329
332,AAJ327,1.330
333,AAJ328,1.331
334,AAJ329,1.332
335,AAJ330,1.333
336,AAJ331,1.334
337,AAJ332,1.335
338,AAJ333,1.336
339,AAJ334,1.337
340,AAJ335,1.338
341,AAJ336,1.339
342,AAJ337,1.340
343,AAJ338,1.341
344,AAJ339,1.342
345,AAJ340,1.343
346,AAJ341,1.344
347,AAJ342,1.345
348,AAJ343,1.346
349,AAJ344,1.347
350,AAJ345,1.348
351,AAJ346,1.349
352,AAJ347,1.350
353,AAJ348,1.351
354,AAJ349,1.352
355,AAJ350,1.353
356,AAJ351,1.354
357,AAJ352,1.355
358,AAJ353,1.356
359,AAJ354,1.357
360,AAJ355,1.358
361,AAJ356,1.359
362,AAJ357,1.360
363,AAJ358,1.361
364,AAJ359,1.362
365,AAJ360,1.363
366,AAJ361,1.364
367,AAJ362,1.365
368,AAJ363,1.366
369,AAJ364,1.367
370,AAJ365,1.368
371,AAJ366,1.369
372,AAJ367,1.370
373,AAJ368,1.371
374,AAJ369,1.372
375,AAJ370,1.373
376,AAJ371,1.374
377,AAJ372,1.375
378,AAJ373,1.376
379,AAJ374,1.377
380,AAJ375,1.378
381,AAJ376,1.379
382,AAJ377,1.380
383,AAJ378,1.381
384,AAJ379,1.382
385,AAJ380,1.383
386,AAJ381,1.384
387,AAJ382,1.385
388,AAJ383,1.386
389,AAJ384,1.387
390,AAJ385,1.388
391,AAJ386,1.389
392,AAJ387,1.390
393,AAJ388,1.391
394,AAJ389,1.392
395,AAJ390,1.393
396,AAJ391,1.394
397,AAJ392,1.395
398,AAJ393,1.396
399,AAJ394,1.397
400,AAJ395,1.398
401,AAJ396,1.399
402,AAJ397,1.400
403,AAJ398,1.401
404,AAJ399,1.402
405,AAJ400,1.403
406,AAJ401,1.404
407,AAJ402,1.405
408,AAJ403,1.406
409,AAJ404,1.407
410,AAJ405,1.408
411,AAJ406,1.409
412,AAJ407,1.410
413,AAJ408,1.411
414,AAJ409,1.412
415,AAJ410,1.413
416,AAJ411,1.414
417,AAJ412,1.415
418,AAJ413,1.416
419,AAJ414,1.417
420,AAJ415,1.418
421,AAJ416,1.419
422,AAJ417,1.420
423,AAJ418,1.421
424,AAJ419,1.422
425,AAJ420,1.423
426,AAJ421,1.424
427,AAJ422,1.425
428,AAJ423,1.426
429,AAJ424,1.427
430,AAJ425,1.428
431,AAJ426,1.429
432,AAJ427,1.430
433,AAJ428,1.431
434,AAJ429,1.432
435,AAJ430,1.433
436,AAJ431,1.434
437,AAJ432,1.435
438,AAJ433,1.436
439,AAJ434,1.437
440,AAJ435,1.438
441,AAJ436,1.439
442,AAJ437,1.440
443,AAJ438,1.441
444,AAJ439,1.442
445,AAJ440,1.443
446,AAJ441,1.444
447,AAJ442,1.445
448,AAJ443,1.446
449,AAJ444,1.447
450,AAJ445,1.448
451,AAJ446,1.449
452,AAJ447,1.450
453,AAJ448,1.451
454,AAJ449,1.452
455,AAJ450,1.453
456,AAJ451,1.454
457,AAJ452,1.455
458,AAJ453,1.456
459,AAJ454,1.457
460,AAJ455,1.458
461,AAJ456,1.459
462,AAJ457,1.460
463,AAJ458,1.461
464,AAJ459,1.462
465,AAJ460,1.463
466,AAJ461,1.464
467,AAJ462,1.465
468,AAJ463,1.466
469,AAJ464,1.467
470,AAJ465,1.468
471,AAJ466,1.469
472,AAJ467,1.470
473,AAJ468,1.471
474,AAJ469,1.472
475,AAJ470,1.473
476,AAJ471,1.474
477,AAJ472,1.475
478,AAJ473,1.476
479,AAJ474,1.477
480,AAJ475,1.478
481,AAJ476,1.479
482,AAJ477,1.480
483,AAJ478,1.481
484,AAJ479,1.482
485,AAJ480,1.483
486,AAJ481,1.484
487,AAJ482,1.485
488,AAJ483,1.486
489,AAJ484,1.487
490,AAJ485,1.488
491,AAJ486,1.489
492,AAJ487,1.490
493,AAJ488,1.491
494,AAJ489,1.492
495,AAJ490,1.493
496,AAJ491,1.494
497,AAJ492,1.495
498,AAJ493,1.496
499,AAJ494,1.497
500,AAJ495,1.498
501,AAJ496,1.499
502,AAJ497,1.500
503,AAJ498,1.501
504,AAJ499,1.502
505,AAJ500,1.503
506,AAJ501,1.504
507,AAJ502,1.505
508,AAJ503,1.506
509,AAJ504,1.507
510,AAJ505,1.508
511,AAJ506,1.509
512,AAJ507,1.510
513,AAJ508,1.511
514,AAJ509,1.512
515,AAJ510,1.513
516,AAJ511,1.514
517,AAJ512,1.515
518,AAJ513,1.516
519,AAJ514,1.517
520,AAJ515,1.518
521,AAJ516,1.519
522,AAJ517,1.520
523,AAJ518,1.521
524,AAJ519,1.522
525,AAJ520,1.523
526,AAJ521,1.524
527,AAJ522,1.525
528,AAJ523,1.526
529,AAJ524,1.527
530,AAJ525,1.528
531,AAJ526,1.529
532,AAJ527,1.530
533,AAJ528,1.531
534,AAJ529,1.532
535,AAJ530,1.533
536,AAJ531,1.534
537,AAJ532,1.535
538,AAJ533,1.536
539,AAJ534,1.537
540,AAJ535,1.538
541,AAJ536,1.539
542,AAJ537,1.540
543,AAJ538,1.541
544,AAJ539,1.542
545,AAJ540,1.543
546,AAJ541,1.544
547,AAJ542,1.545
548,AAJ543,1.546
549,AAJ544,1.547
550,AAJ545,1.548
551,AAJ546,1.549
552,AAJ547,1.550
553,AAJ548,1.551
554,AAJ549,1.552
555,AAJ550,1.553
556,AAJ551,1.554
557,AAJ552,1.555
558,AAJ553,1.556
559,AAJ554,1.557
560,AAJ555,1.558
561,AAJ556,1.559
562,AAJ557,1.560
563,AAJ558,1.561
564,AAJ559,1.562
565,AAJ560,1.563
566,AAJ561,1.564
567,AAJ562,1.565
568,AAJ563,1.566
569,AAJ564,1.567
570,AAJ565,1.568
571,AAJ566,1.569
572,AAJ567,1.570
573,AAJ568,1.571
574,AAJ569,1.572
575,AAJ570,1.573
576,AAJ571,1.574
577,AAJ572,1.575
578,AAJ573,1.576
579,AAJ574,1.577
580,AAJ575,1.578
581,AAJ576,1.579
582,AAJ577,1.580
583,AAJ578,1.581
584,AAJ579,1.582
585,AAJ580,1.583
586,AAJ581,1.584
587,AAJ582,1.585
588,AAJ583,1.586
589,AAJ584,1.587
590,AAJ585,1.588
591,AAJ586,1.589
592,AAJ587,1.590
593,AAJ588,1.591
594,AAJ589,1.592
595,AAJ590,1.593
596,AAJ591,1.594
597,AAJ592,1.595
598,AAJ593,1.596
599,AAJ594,1.597
600,AAJ595,1.598
601,AAJ596,1.599
602,AAJ597,1.600
603,AAJ598,1.601
604,AAJ599,1.602
605,AAJ600,1.603
606,AAJ601,1.604
607,AAJ602,1.605
608,AAJ603,1.606
609,AAJ604,1.607
610,AAJ605,1.608
611,AAJ606,1.609
612,AAJ607,1.610
613,AAJ608,1.611
614,AAJ609,1.612
615,AAJ610,1.613
616,AAJ611,1.614
617,AAJ612,1.615
618,AAJ613,1.616
619,AAJ614,1.617
620,AAJ615,1.618
621,AAJ616,1.619
622,AAJ617,1.620
623,AAJ618,1.621
624,AAJ619,1.622
625,AAJ620,1.623
626,AAJ621,1.624
627,AAJ622,1.625
628,AAJ623,1.626
629,AAJ624,1.627
630,AAJ625,1.628
631,AAJ626,1.629
632,AAJ627,1.630
633,AAJ628,1.631
634,AAJ629,1.632
635,AAJ630,1.633
636,AAJ631,1.634
637,AAJ632,1.635
638,AAJ633,1.636
639,AAJ634,1.637
640,AAJ635,1.638
641,AAJ636,1.639
642,AAJ637,1.640
643,AAJ638,1.641
644,AAJ639,1.642
645,AAJ640,1.643
646,AAJ641,1.644
647,AAJ642,1.645
648,AAJ643,1.646
649,AAJ644,1.647
650,AAJ645,1.648
651,AAJ646,1.649
652,AAJ647,1.650
653,AAJ648,1.651
654,AAJ649,1.652
655,AAJ650,1.653
656,AAJ651,1.654
657,AAJ652,1.655
658,AAJ653,1.656
659,AAJ654,1.657
660,AAJ655,1.658
661,AAJ656,1.659
662,AAJ657,1.660
663,AAJ658,1.661
664,AAJ659,1.662
665,AAJ660,1.663
666,AAJ661,1.664
667,AAJ662,1.665
668,AAJ663,1.666
669,AAJ664,1.667
670,AAJ665,1.668
671,AAJ666,1.669
672,AAJ667,1.670
673,AAJ668,1.671
674,AAJ669,1.672
675,AAJ670,1.673
676,AAJ671,1.674
677,AAJ672,1.675
678,AAJ673,1.676
679,AAJ674,1.677
680,AAJ675,1.678
681,AAJ676,1.679
682,AAJ677,1.680
683,AAJ678,1.681
684,AAJ679,1.682
685,AAJ680,1.683
686,AAJ681,1.684
687,AAJ682,1.685
688,AAJ683,1.686
689,AAJ684,1.687
690,AAJ685,1.688
691,AAJ686,1.689
692,AAJ687,1.690
693,AAJ688,1.691
694,AAJ689,1.692
695,AAJ690,1.693
696,AAJ691,1.694
697,AAJ692,1.695
698,AAJ693,1.696
699,AAJ694,1.697
700,AAJ695,1.698
701,AAJ696,1.699
702,AAJ697,1.700
703,AAJ698,1.701
704,AAJ699,1.702
705,AAJ700,1.703
706,AAJ701,1.704
707,AAJ702,1.705
708,AAJ703,1.706
709,AAJ704,1.707
710,AAJ705,1.708
711,AAJ706,1.709
712,AAJ707,1.710
713,AAJ708,1.711
714,AAJ709,1.712
715,AAJ710,1.713
716,AAJ711,1.714
717,AAJ712,1.715
718,AAJ713,1.716
719,AAJ714,1.717
720,AAJ715,1.718
721,AAJ716,1.719
722,AAJ717,1.720
723,AAJ718,1.721
724,AAJ719,1.722
725,AAJ720,1.723
726,AAJ721,1.724
727,AAJ722,1.725
728,AAJ723,1.726
729,AAJ724,1.727
730,AAJ725,1.728
731,AAJ726,1.729
732,AAJ727,1.730
733,AAJ728,1.731
734,AAJ729,1.732
735,AAJ730,1.733
736,AAJ731,1.734
737,AAJ732,1.735
738,AAJ733,1.736
739,AAJ734,1.737
740,AAJ735,1.738
741,AAJ736,1.739
742,AAJ737,1.740
743,AAJ738,1.741
744,AAJ739,1.742
745,AAJ740,1.743
746,AAJ741,1.744
747,AAJ742,1.745
748,AAJ743,1.746
749,AAJ744,1.747
750,AAJ745,1.748
751,AAJ746,1.749
752,AAJ747,1.750
753,AAJ748,1.751
754,AAJ749,1.752
755,AAJ750,1.753
756,AAJ751,1.754
757,AAJ752,1.755
758,AAJ753,1.756
759,AAJ754,1.757
760,AAJ755,1.758
761,AAJ756,1.759
762,AAJ757,1.760
763,AAJ758,1.761
764,AAJ759,1.762
765,AAJ760,1.763
766,AAJ761,1.764
767,AAJ762,1.765
768,AAJ763,1.766
769,AAJ764,1.767
770,AAJ765,1.768
771,AAJ766,1.769
772,AAJ767,1.770
773,AAJ768,1.771
774,AAJ769,1.772
775,AAJ770,1.773
776,AAJ771,1.774
777,AAJ772,1.775
778,AAJ773,1.776
779,AAJ774,1.777
780,AAJ775,1.778
781,AAJ776,1.779
782,AAJ777,1.780
783,AAJ778,1.781
784,AAJ779,1.782
785,AAJ780,1.783
786,AAJ781,1.784
787,AAJ782,1.785
788,AAJ783,1.786
789,AAJ784,1.787
790,AAJ785,1.788
791,AAJ786,1.789
792,AAJ787,1.790
793,AAJ788,1.791
794,AAJ789,1.792
795,AAJ790,1.793
796,AAJ791,1.794
797,AAJ792,1.795
798,AAJ793,1.796
799,AAJ794,1.797
800,AAJ795,1.798
801,AAJ796,1.799
802,AAJ797,1.800
803,AAJ798,1.801
804,AAJ799,1.802
805,AAJ800,1.803
806,AAJ801,1.804
807,AAJ802,1.805
808,AAJ803,1.806
809,AAJ804,1.807
810,AAJ805,1.808
811,AAJ806,1.809
812,AAJ807,1.810
813,AAJ808,1.811
814,AAJ809,1.812
815,AAJ810,1.813
816,AAJ811,1.814
817,AAJ812,1.815
818,AAJ813,1.816
819,AAJ814,1.817
820,AAJ815,1.818
821,AAJ816,1.819
822,AAJ817,1.820
823,AAJ818,1.821
824,AAJ819,1.822
825,AAJ820,1.823
826,AAJ821,1.824
827,AAJ822,1.825
828,AAJ823,1.826
829,AAJ824,1.827
830,AAJ825,1.828
831,AAJ826,1.829
832,AAJ827,1.830
833,AAJ828,1.831
834,AAJ829,1.832
835,AAJ830,1.833
836,AAJ831,1.834
837,AAJ832,1.835
838,AAJ833,1.836
839,AAJ834,1.837
840,AAJ835,1.838
841,AAJ836,1.839
842,AAJ837,1.840
843,AAJ838,1.841
844,AAJ839,1.842
845,AAJ840,1.843
846,AAJ841,1.844
847,AAJ842,1.845
848,AAJ843,1.846
849,AAJ844,1.847
850,AAJ845,1.848
851,AAJ846,1.849
852,AAJ847,1.850
853,AAJ848,1.851
854,AAJ849,1.852
855,AAJ850,1.853
856,AAJ851,1.854
857,AAJ852,1.855
858,AAJ853,1.856
859,AAJ854,1.857
860,AAJ855,1.858
861,AAJ856,1.859
862,AAJ857,1.860
863,AAJ858,1.861
864,AAJ859,1.862
865,AAJ860,1.863
866,AAJ861,1.864
867,AAJ862,1.865
868,AAJ863,1.866
869,AAJ864,1.867
870,AAJ865,1.868
871,AAJ866,1.869
872,AAJ867,1.870
873,AAJ868,1.871
874,AAJ869,1.872
875,AAJ870,1.873
876,AAJ871,1.874
877,AAJ872,1.875
878,AAJ873,1.876
879,AAJ874,1.877
880,AAJ875,1.878
881,AAJ876,1.879
882,AAJ877,1.880
883,AAJ878,1.881
884,AAJ879,1.882
885,AAJ880,1.883
886,AAJ881,1.884
887,AAJ882,1.885
888,AAJ883,1.886
889,AAJ884,1.887
890,AAJ885,1.888
891,AAJ886,1.889
892,AAJ887,1.890
893,AAJ888,1.891
894,AAJ889,1.892
895,AAJ890,1.893
896,AAJ891,1.894
897,AAJ892,1.895
898,AAJ893,1.896
899,AAJ894,1.897
900,AAJ895,1.898
901,AAJ896,1.899
902,AAJ897,1.900
903,AAJ898,1.901
904,AAJ899,1.902
905,AAJ900,1.903
906,AAJ901,1.904
907,AAJ902,1.905
908,AAJ903,1.906
909,AAJ904,1.907
910,AAJ905,1.908
911,AAJ906,1.909
912,AAJ907,1.910
913,AAJ908,1.911
914,AAJ909,1.912
915,AAJ910,1.913
916,AAJ911,1.914
917,AAJ912,1.915
918,AAJ913,1.916
919,AAJ914,1.917
920,AAJ915,1.918
921,AAJ916,1.919
922,AAJ917,1.920
923,AAJ918,1.921
924,AAJ919,1.922
925,AAJ920,1.923
926,AAJ921,1.924
927,AAJ922,1.925
928,AAJ923,1.926
929,AAJ924,1.927
930,AAJ925,1.928
931,AAJ926,1.929
932,AAJ927,1.930
933,AAJ928,1.931
934,AAJ929,1.932
935,AAJ930,1.933
936,AAJ931,1.934
937,AAJ932,1.935
938,AAJ933,1.936
939,AAJ934,1.937
940,AAJ935,1.938
941,AAJ936,1.939
942,AAJ937,1.940
943,AAJ938,1.941
944,AAJ939,1.942
945,AAJ940,1.943
946,AAJ941,1.944
947,AAJ942,1.945
948,AAJ943,1.946
949,AAJ944,1.947
950,AAJ945,1.948
951,AAJ946,1.949
952,AAJ947,1.950
953,AAJ948,1.951
954,AAJ949,1.952
955,AAJ950,1.953
956,AAJ951,1.954
957,AAJ952,1.955
958,AAJ953,1.956
959,AAJ954,1.957
960,AAJ955,1.958
961,AAJ956,1.959
962,AAJ957,1.960
963,AAJ958,1.961
964,AAJ959,1.962
965,AAJ960,1.963
966,AAJ961,1.964
967,AAJ962,1.965
968,AAJ963,1.966
969,AAJ964,1.967
970,AAJ965,1.968
971,AAJ966,1.969
972,AAJ967,1.970
973,AAJ968,1.971
974,AAJ969,1.972
975,AAJ970,1.973
976,AAJ971,1.974
977,AAJ972,1.975
978,AAJ973,1.976
979,AAJ974,1.977
980,AAJ975,1.978
981,AAJ976,1.979
982,AAJ977,1.980
983,AAJ978,1.981
984,AAJ979,1.982
985,AAJ980,1.983
986,AAJ981,1.984
987,AAJ982,1.985
988,AAJ983,1.986
989,AAJ984,1.987
990,AAJ985,1.988
991,AAJ986,1.989
992,AAJ987,1.990
993,AAJ988,1.991
994,AAJ989,1.992
995,AAJ990,1.993
996,AAJ991,1.994
997,AAJ992,1.995
998,AAJ993,1.996
999,AAJ994,1.997
1000,AAJ995,1.998
1001,AAJ996,1.999
1002,AAJ997,1.1000
1003,AAJ998,1.1001
1004,AAJ999,1.1002
1005,AAJ1000,1.1003
1006,AAJ1001,1.1004
1007,AAJ1002,1.1005
1008,AAJ1003,1.1006
1009,AAJ1004,1.1007
1010,AAJ1005,1.1008
1011,AAJ1006,1.1009
1012,AAJ1007,1.1010
1013,AAJ1008,1.1011
1014,AAJ1009,1.1012
1015,AAJ1010,1.1013
1016,AAJ1011,1.1014
1017,AAJ1012,1.1015
1018,AAJ1013,1.1016
1019,AAJ1014,1.1017
1020,AAJ1015,1.1018
1021,AAJ1016,1.1019
1022,AAJ1017,1.1020
1023,AAJ1018,1.1021
1024,AAJ1019,1.1022
1025,AAJ1020,1.1023
1026,AAJ1021,1.1024
1027,AAJ1022,1.1025
1028,AAJ1023,1.1026
1029,AAJ1024,1.1027
1030,AAJ1025,1.1028
1031,AAJ1026,1.1029
1032,AAJ1027,1.1030
1033,AAJ1028,1.1031
1034,AAJ1029,1.1032
1035,AAJ1030,1.1033
1036,AAJ1031,1.1034
1037,AAJ1032,1.1035
1038,AAJ1033,1.1036
1039,AAJ1034,1.1037
1040,AAJ1035,1.1038
1041,AAJ1036,1.1039
1042,AAJ1037,1.1040
1043,AAJ1038,1.1041
1044,AAJ1039,1.1042
1045,AAJ1040,1.1043
1046,AAJ1041,1.1044
1047,AAJ1042,1.1045
1048,AAJ1043,1.1046
1049,AAJ1044,1.1047
1050,AAJ1045,1.1048
1051,AAJ1046,1.1049
1052,AAJ1047,1.1050
1053,AAJ1048,1.1051
1054,AAJ1049,1.1052
1055,AAJ1050,1.1053
1056,AAJ1051,1.1054
1057,AAJ1052,1.1055
1058,AAJ1053,1.1056
1059,AAJ1054,1.1057
1060,AAJ1055,1.1058
1061,AAJ1056,1.1059
1062,AAJ1057,1.1060
1063,AAJ1058,1.1061
1064,AAJ1059,1.1062
1065,AAJ1060,1.1063
1066,AAJ1061,1.1064
1067,AAJ1062,1.1065
1068,AAJ1063,1.1066
1069,AAJ1064,1.1067
1070,AAJ1065,1.1068
1071,AAJ1066,1.1069
1072,AAJ1067,1.1070
1073,AAJ1068,1.1071
1074,AAJ1069,1.1072
1075,AAJ1070,1.1073
1076,AAJ1071,1.1074
1077,AAJ1072,1.1075
1078,AAJ1073,1.1076
1079,AAJ1074,1.1077
1080,AAJ1075,1.1078
1081,AAJ1076,1.1079
1082,AAJ1077,1.1080
1083,AAJ1078,1.1081
1084,AAJ1079,1.1082
1085,AAJ1080,1.1083
1086,AAJ1081,1.1084
1087,AAJ1082,1.1085
1088,AAJ1083,1.1086
1089,AAJ1084,1.1087
1090,AAJ1085,1.1088
1091,AAJ1086,1.1089
1092,AAJ1087,1.1090
1093,AAJ1088,1.1091
1094,AAJ1089,1.1092
1095,AAJ1090,1.1093
1096,AAJ1091,1.1094
1097,AAJ1092,1.1095
1098,AAJ1093,1.1096
1099,AAJ1094,1.1097
1100,AAJ1095,1.1098
1101,AAJ1096,1.1099
1102,AAJ1097,1.1100
1103,AAJ1098,1.1101
1104,AAJ1099,1.1102
1105,AAJ1100,1.1103
1106,AAJ1101,1.1104
1107,AAJ1102,1.1105
1108,AAJ1103,1.1106
1109,AAJ1104,1.1107
1110,AAJ1105,1.1108
1111,AAJ1106,1.1109
1112,AAJ1107,1.1110
1113,AAJ1108,1.1111
1114,AAJ1109,1.1112
1115,AAJ1110,1.1113
1116,AAJ1111,1.1114
1117,AAJ1112,1.1115
1118,AAJ1113,1.1116
1119,AAJ1114,1.1117
1120,AAJ1115,1.1118
1121,AAJ1116,1.1119
1122,AAJ1117,1.1120
1123,AAJ1118,1.1121
1124,AAJ1119,1.1122
1125,AAJ1120,1.1123
1126,AAJ1121,1.1124
1127,AAJ1122,1.1125
1128,AAJ1123,1.1126
1129,AAJ1124,1.1127
1130,AAJ1125,1.1128
1131,AAJ1126,1.1129
1132,AAJ1127,1.1130
1133,AAJ1128,1.1131
1134,AAJ1129,1.1132
1135,AAJ1130,1.1133
1136,AAJ1131,1.1134
1137,AAJ1132,1.1135
1138,AAJ1133,1.1136
1139,AAJ1134,1.1137
1140,AAJ1135,1.1138
